date,avg_price
2024/2/28 8:16,6.7844
2024/2/28 8:17,5.033
2024/2/28 8:18,6.456571429
2024/2/28 8:19,5.319197861
2024/2/28 16:01,6.002688172
2024/2/28 16:06,6.891056911
2024/2/28 16:07,5.904423077
2024/2/28 16:08,4.447231638
2024/2/29 9:21,6.6941
2024/2/29 9:22,4.1232
2024/2/29 9:23,6.298225806
2024/2/29 9:24,5.331550388
2024/2/29 16:04,6.84048951
2024/2/29 16:05,6.072555556
2024/2/29 16:06,6.748823529
2024/2/29 16:07,6.100526316
2024/2/29 16:08,8.012222222
2024/2/29 16:09,6.937058824
2024/2/29 16:10,7.672105263
2024/2/29 16:11,6.793333333
2024/2/29 16:12,5.684
2024/2/29 16:13,2.960588235
2024/2/29 16:14,3.64625
2024/2/29 16:15,3.407647059
2024/2/29 16:16,3.95875
2024/2/29 16:17,4.584375
2024/2/29 16:18,4.630454545
2024/2/29 16:19,4.762528736
2024/3/1 9:59,5.6234
2024/3/1 10:00,6.423802817
2024/3/1 10:01,5.270851064
2024/3/1 16:06,6.687392405
2024/3/1 16:07,6.302786885
2024/3/1 16:08,4.338448276
2024/3/1 16:09,6.567560976
2024/3/1 16:10,3.853636364
2024/3/1 16:11,4.062727273
2024/3/1 16:12,4.443846154
2024/3/1 16:13,4.24
2024/3/2 8:58,5.6234
2024/3/2 9:00,5.924342105
2024/3/2 9:01,4.717222222
2024/3/2 16:05,6.966365741
2024/3/2 16:06,5.160120482
2024/3/2 16:07,3.826769231
2024/3/2 16:08,4.712258065
2024/3/3 11:16,5.627866667
2024/3/3 11:17,6.756071429
2024/3/3 11:18,5.685102041
2024/3/3 11:19,5.472211538
2024/3/3 16:04,6.605685072
2024/3/3 16:05,5.868815789
2024/3/3 16:06,5.821764706
2024/3/3 16:07,4.149166667
2024/3/4 10:11,6.724772727
2024/3/4 10:12,4.977922078
2024/3/4 10:14,5.663666667
2024/3/4 10:15,6.291358025
2024/3/4 10:16,5.347134831
2024/3/5 9:18,5.632333333
2024/3/5 9:19,6.093566434
2024/3/5 9:20,4.498703704
2024/3/5 16:01,7.206603774
2024/3/5 16:02,4.561627907
2024/3/5 16:04,6.695741445
2024/3/5 16:05,1.1005
2024/3/5 16:06,0.404761905
2024/3/5 16:53,6.786
2024/3/5 16:54,5.302405063
2024/3/5 16:56,6.369615385
2024/3/5 16:57,5.203418803
2024/3/6 9:17,5.632333333
2024/3/6 9:18,6.627931034
2024/3/6 9:19,5.503150685
2024/3/6 9:20,6.827192982
2024/3/6 9:21,5.356521739
